상병코드,24년 국문 질환명,24년 영문 질환명,신규여부,산정특례 종류,"산정특례
특정기호"
E83.1,혈색소증,Haemochromatosis,,희귀,V255
E83.2,장병성 말단피부염,Acrodermatitis enteropathica,,극희귀,V900
E83.3,가족성 저인산혈증,Familial hypophosphataemia,,희귀,V189
E83.3,비타민D저항골연화증,Vitamin-D-resistant osteomalacia,,희귀,V189
E83.3,비타민D저항구루병,Vitamin-D-resistant rickets,,희귀,V189
E83.3,산성인산분해효소결핍,Acid phosphatase deficiency,,희귀,V189
E83.3,인대사 및 인산분해효소 장애,Disorders of phosphorus metabolism and phosphatases,,희귀,V189
E83.3,저인산효소증,Hypophosphatasia,,희귀,V189
E84.0,폐증상을 동반한 낭성 섬유증,Cystic fibrosis with pulmonary manifestations,,희귀,V120
E84.1,낭성 섬유증에서의 태변장폐색 (P75*),Meconium ileus in cystic fibrosis(P75*),,희귀,V120
E84.1,원위장폐쇄증후군,Distal intestinal obstruction syndrome,,희귀,V120
E84.1,장증상을 동반한 낭성 섬유증,Cystic fibrosis with intestinal manifestations,,희귀,V120
E85.0,가족성 지중해열,Familial Mediterranean fever,,희귀,V121
E85.0,비신경병성 유전가족성 아밀로이드증,Non-neuropathic heredofamilial amyloidosis,,희귀,V121
E85.0,유전성 아밀로이드 신장병증,Hereditary amyloid nephropathy,,희귀,V121
E85.1,신경병성 유전가족성 아밀로이드증,Neuropathic heredofamilial amyloidosis,,희귀,V121
E85.1,아밀로이드다발신경병증(포르투갈),Amyloid polyneuropathy(Portuguese),,희귀,V121
E85.2,상세불명의 유전가족성 아밀로이드증,"Heredofamilial amyloidosis, unspecified",,희귀,V121
E85.4,국소적 아밀로이드증,Localized amyloidosis,,희귀,V121
E85.4,기관한정아밀로이드증,Organ-limited amyloidosis,,희귀,V121
E88.0,알파-1-항트립신결핍,α-1-Antitrypsin deficiency,,극희귀,V900
E88.1,선천성 전신지방디스트로피,Congenital systemic lipodystrophy,,극희귀,V900
F01.1,카다실,"CADASIL, Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy",,희귀,V122
F80.3,뇌전증에 동반된 후천성 실어증(失語症)[란다우-클레프너],Acquired aphasia with epilepsy [Landau-Kleffner],,희귀,V256
F84.2,레트증후군,Rett’s syndrome,,희귀,V122
G04.8,라스무센 뇌염,Rasmussen encephalitis,,극희귀,V900
G04.8,자가면역 뇌염,Autoimmune encephalitis,,극희귀,V900
G10,헌팅톤무도병,Huntington’s chorea,,희귀,V123
G10,헌팅톤병,Huntington’s disease,,희귀,V123
G11.0,선천성 비진행성 운동실조,Congenital nonprogressive ataxia,,희귀,V123
G11.1,X-연관 열성 척수소뇌성 운동실조,X-linked recessive spinocerebellar ataxia,,희귀,V123
G11.1,마이오클로누스[헌트운동실조]을(를) 동반한 조기발병 소뇌성 운동실조,Early-onset cerebellar ataxia with myoclonus[Hunt’s ataxia],,희귀,V123
G11.1,보류된 힘줄반사을(를) 동반한 조기발병 소뇌성 운동실조,Early-onset cerebellar ataxia with retained tendon reflexes,,희귀,V123
G11.1,본태성 떨림을(를) 동반한 조기발병 소뇌성 운동실조,Early-onset cerebellar ataxia with essential tremor,,희귀,V123
G11.1,조기발병 소뇌성 운동실조(발병은 보통 20세 이전),Early-onset cerebellar ataxia(onset usually before the age of 20),,희귀,V123
G11.1,프리드라이히운동실조(보통염색체열성),Friedreich’s ataxia(autosomal recessive),,희귀,V123
G11.2,만기발병 소뇌성 운동실조(발병은 보통 20세 이후),Late-onset cerebellar ataxia(Onset usually after the age of 20),,희귀,V123
G11.3,DNA복구결손을 수반한 소뇌성 운동실조,Cerebellar ataxia with defective DNA repair,,희귀,V123
G11.3,모세혈관확장성 운동실조[루이-바],Ataxia telangiectasia[Louis-bar],,희귀,V123
G11.4,유전성 강직성 하반신마비,Hereditary spastic paraplegia,,희귀,V123
G11.8,기타 유전성 운동실조,Other hereditary ataxias,,희귀,V123
G11.9,상세불명의 유전성 운동실조,"Hereditary ataxia, unspecified",,희귀,V123
G11.9,유전성 소뇌의 변성,Hereditary cerebellar degeneration,,희귀,V123
G11.9,유전성 소뇌의 병,Hereditary cerebellar disease,,희귀,V123
G11.9,유전성 소뇌의 운동실조 NOS,Hereditary cerebellar ataxia NOS,,희귀,V123
G11.9,유전성 소뇌의 증후군,Hereditary cerebellar syndrome,,희귀,V123
G12.0,"영아척수성 근위축, I형[베르드니히-호프만]","Infantile spinal muscular atrophy, type Ⅰ[Werdnig-Hoffman]",,희귀,V123
G12.1,기타 유전성 척수성 근위축,Other inherited spinal muscular atrophy,,희귀,V123
G12.1,성인형 척수성 근위축,Adult form spinal muscular atrophy,,희귀,V123
G12.1,소아기의 진행성 연수마비[파지오-론데],Progressive bulbar palsy of childhood [Fazio-Londe],,희귀,V123
G12.1,"소아형, Ⅱ형 척수성 근위축","Childhood form, type Ⅱ spinal muscular atrophy",,희귀,V123
G12.1,어깨종아리형 척수성 근위축,Scapuloperoneal form spinal muscular atrophy,,희귀,V123
G12.1,"연소형, Ⅲ형[쿠겔베르그-벨란더] 척수성 근위축","Juvenile form, typeⅢ [Kugelberg-Welander] spinal muscular atrophy",,희귀,V123
G12.1,원위 척수성 근위축,Distal spinal muscular atrophy,,희귀,V123
G12.2,운동신경세포병,Motor neuron disease,,희귀,V123
G12.20,가족성 운동신경세포병,Familial motor neuron disease,신규,희귀,V123
G12.21,산발형 근위축측삭경화증,Sporadic amyotrophic lateral sclerosis,신규,희귀,V123
G12.28,케네디 병,Kennedy disease,신규,희귀,V123
G12.8,기타 척수성 근위축 및 관련 증후군,Other spinal muscular atrophies and related syndromes,,희귀,V123
G12.9,상세불명의 척수성 근위축,"Spinal muscular atrophy, unspecified",,희귀,V123
G23.0,색소성 담창구변성,Pigmentary pallidal degeneration,,희귀,V257
G23.0,할러포르덴-스파츠병,Hallervorden-Spatz disease,,희귀,V257
G23.1,진행성 핵상안근마비 [스틸-리차드슨-올스제위스키],Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],,희귀,V190
G23.8,파르병,Fahr's Disease,,극희귀,V900
G24.8,돌발성 운동유발 이상운동,Paroxysmal kinesigenic dyskinesia[PKD],,극희귀,V900
G25.8,강직인간증후군,Stiff-person[man] syndrome,,극희귀,V900
G31.81,아급성 괴사성 뇌병증[리이],Subacute necrotizing encephalopathy[Leigh],,희귀,V208
G31.88,아이카디-구티에레스 증후군,Aicardi-Goutieres syndrome,,극희귀,V900
G35,뇌간(~의) 다발경화증,Multiple sclerosis (of) brain stem,,희귀,V022
G35,다발경화증,Multiple sclerosis,,희귀,V022
G35,다발경화증 NOS,Multiple sclerosis (of) NOS,,희귀,V022
G35,전신성(~의) 다발경화증,Multiple sclerosis (of) generalized,,희귀,V022
G35,척수(~의) 다발경화증,Multiple sclerosis (of) cord,,희귀,V022
G35,파종성(~의) 다발경화증,Multiple sclerosis (of) disseminated,,희귀,V022
G36.0,시신경척수염[데빅병],Neuromyelitis optica[Devic],,희귀,V276
G40.4,레녹스-가스토증후군,Lennox-Gastaut syndrome,,희귀,V233
G40.4,웨스트증후군,West’s syndrome,,희귀,V233
G41.0,긴장-간대성 뇌전증지속상태,Tonic-clonic status epilepticus,,희귀,V125
G41.0,대발작 뇌전증지속상태,Grand mal status epilepticus,,희귀,V125
G41.1,뇌전증 압상스지속상태,Epileptic absence status,,희귀,V125
G41.1,소발작뇌전증지속상태,Petit mal status epilepticus,,희귀,V125
G41.2,복합부분뇌전증지속상태,Complex partial status epilepticus,,희귀,V125
G41.8,기타 뇌전증지속상태,Other status epilepticus,,희귀,V125
G41.9,상세불명의 뇌전증지속상태,"Status epilepticus, unspecified",,희귀,V125
G47.31,하다드 증후군,Haddad syndrome,,극희귀,V900
G47.4,발작수면 및 허탈발작,Narcolepsy and cataplexy,,희귀,V234
G51.2,멜커슨증후군,Melkersson’s syndrome,,희귀,V167
G51.2,멜케르손-로젠탈증후군,Melkersson-Rosenthal syndrome,,희귀,V167
G51.8,파리-롬버르그증후군,Parry-Romberg syndrome,,극희귀,V900
G60.0,데제린-소타스병,Déjerine-Sottas disease,,희귀,V169
G60.0,루시-레비증후군,Roussy-Lévy syndrome,,희귀,V169
G60.0,"비골근위축(축삭형, 비대형)","Peroneal muscular atrophy(axonal type, hypertrophic type)",,희귀,V169
G60.0,샤르코-마리-투스질환,Charcot-Marie-Tooth disease,,희귀,V169
G60.0,영아기의 비대성 신경병증,Hypertrophic neuropathy of infancy,,희귀,V169
G60.0,유전성 운동 및 감각 신경병증,Hereditary motor and sensory neuropathy,,희귀,V169
G60.0,유전성 운동 및 감각 신경병증 I-IV형,"Hereditary motor and sensory neuropathy, types I-IV",,희귀,V169
G61.0,길랭-바레증후군,Guillain-Barré syndrome,,희귀,V126
G61.0,밀러휘셔증후군,Miller Fisher Syndrome,,희귀,V126
G61.8,다초점 운동신경병증,Multifocal Motor Neuropathy,,희귀,V126
G61.8,만성 염증성 탈수초성 다발신경병증,Chronic inflammatory demyelinating polyneuropathy,,희귀,V126
G70.0,중증근무력증,Myasthenia gravis,,희귀,V012
G70.2,선천성 및 발달성 근무력증,Congenital and developmental myasthenia,,희귀,V012
G71.0,근디스트로피,Muscular dystrophy,,희귀,V012
G71.0,눈 근디스트로피,Ocular muscular dystrophy,,희귀,V012
G71.0,눈인두성 근디스트로피,Oculopharyngeal muscular dystrophy,,희귀,V012
G71.0,"뒤쉔 또는 베커와 유사한 보통염색체열성, 소아형 근디스트로피","Autosomal recessive, childhood type, resembling Duchenne or Becker muscular dystrophy",,희귀,V012
G71.0,양성[베커] 근디스트로피,Benign [Becker] muscular dystrophy,,희귀,V012
G71.0,어깨종아리 근디스트로피,Scapuloperoneal muscular dystrophy,,희귀,V012
G71.0,얼굴어깨팔 근디스트로피,Facioscapulohumeral muscular dystrophy,,희귀,V012
G71.0,원위성 근디스트로피,Distal muscular dystrophy,,희귀,V012
G71.0,조기수축을 동반하는 양성 어깨종아리[에머리-드라이프스] 근디스트로피,Benign scapuloperoneal with early contractures [Emery-Dreifuss] muscular dystrophy,,희귀,V012
G71.0,중증[뒤쉔] 근디스트로피,Severe[Duchenne] muscular dystrophy,,희귀,V012
G71.0,지대 근디스트로피,Limb-girdle muscular dystrophy,,희귀,V012
G71.1,거짓근긴장증,Pseudomyotonia,,희귀,V012
G71.1,근긴장디스트로피[스타이너트],Dystrophia myotonica[Steinert],,희귀,V012
G71.1,근긴장장애,Myotonic disorders,,희귀,V012
G71.1,선천성 근긴장증 NOS,Myotonia congenita NOS,,희귀,V012
G71.1,선천성 이상근긴장증,Paramyotonia congenita,,희귀,V012
G71.1,신경근육긴장[아이작스],Neuromyotonia[Isaacs],,희귀,V012
G71.1,연골형성장애성 근긴장증,Chondrodystrophic myotonia,,희귀,V012
G71.1,열성[베커] 선천성 근긴장증,Recessive[Becker] myotonia congenita,,희귀,V012
G71.1,우성[톰슨] 선천성 근긴장증,Dominant[Thomsen] myotonia congenita ,,희귀,V012
G71.1,증상성 근긴장증,Symptomatic myotonia,,희귀,V012
G71.2,근섬유의 특정 형태이상을 동반한 선천성 근디스트로피,Congenital muscular dystrophy with specific morphological abnormalities of the muscle fibre,,희귀,V012
G71.2,근섬유형 불균형,Fibre-type disproportion,,희귀,V012
G71.2,근세관성 (중심핵성) 근병증,Myotubular (centronuclear) myopathy,,희귀,V012
G71.2,네말린근병증,Nemaline myopathy,,희귀,V012
G71.2,다발심 병,Multicore disease,,희귀,V012
G71.2,미세심 병,Minicore disease,,희귀,V012
G71.2,선천성 근디스트로피 NOS,Congenital muscular dystrophy NOS,,희귀,V012
G71.2,선천성 근병증,Congenital myopathies,,희귀,V012
G71.2,워커-워버그 증후군,Walker-Warburg syndrome,,극희귀,V900
G71.2,중심핵 병,Central core disease,,희귀,V012
G71.3,달리 분류되지 않은 미토콘드리아근병증,"Mitochondrial myopathy, NEC",,희귀,V012
G71.3,멜라스증후군,Melas syndrome,,희귀,V012
G71.9,유전성 근병증 NOS,Hereditary myopathy NOS,,희귀,V012
G72.3,주기마비(가족성) 저칼륨혈성,Hypokalaemic periodic paralysis (familial),,희귀,V258
G72.4,봉입체 근염,Inclusion body myositis (IBM),,극희귀,V900
G73.1,람베르트-이튼증후군(C00-D48†),Lambert-Eaton syndrome(C00-D48†),,희귀,V259
G90.5,복합부위통증증후군 I형,Complex regional pain syndrome type I,,희귀,V177
G90.6,복합부위통증증후군 II형,Complex regional pain syndrome type II,,희귀,V168
G93.4,포도당 수송자 1 결핍증,"Glucose transporter type1, GLUT1 deficiency",,극희귀,V900
G95.0,척수공동증 및 연수공동증,Syringomyelia and syringobulbia,,희귀,V172
H16.3,코오간증후군,Cogan's syndrome,,극희귀,V900
H18.5,아벨리노 각막디스트로피 (동형접합) ,Avellino corneal dystrophy (homozygous),,극희귀,V900
H18.5,푹스디스트로피,Fuchs dystrophy,신규,희귀,V307
H18.6,원추각막,Keratoconus,,희귀,V307
H31.2,맥락막결손,Choroideremia,,희귀,V295
H35.0,일스 병,Eales´ disease,,극희귀,V900
H35.0,코츠망막병증 ,Coats retinopathy,,희귀,V260
H35.51,색소망막염,Retinitis pigmentosa,,희귀,V209
H35.52,베스트 병[노른자모양황반변성],Best's disease[Best vitelliform maculardystrophy],,극희귀,V900
H35.58,스타르가르트병,Stargardt’s disease,,희귀,V209
H35.59,레베르 선천성 흑암시,Leber’s congenital amaurosis,,희귀,V209
H35.59,상세불명의 유전성 망막디스트로피,Unspecified hereditary retinal dystrophy,,희귀,V209
H49.4,만성 진행성 외안근마비,Chronic progressive external ophthalmoplegia,,극희귀,V900
H49.8,컨스-세이어증후군,Kearns-Sayre syndrome,,희귀,V261
H51.8,"동안실행증(失行症), 코간형","Ocular motor apraxia, Cogan type",,극희귀,V900
I27.0,원발성 폐동맥고혈압,Primary pulmonary hypertension,,희귀,V202
I27.8,아이젠멘거복합,Eisenmenger's complex,,희귀,V226
I27.8,아이젠멘거증후군,Eisenmenger's syndrome,,희귀,V226
I42.0,비가역적 확장성 심근병증,Irreversible dilated cardiomyopathy,,희귀,V127
I42.1,비대성 대동맥판하협착,Hypertrophic subaortic stenosis,,희귀,V127
I42.1,폐색성 비대성 심근병증,Obstructive hypertrophic cardiomyopathy,,희귀,V127
I42.20,비폐색성 비대성 심근병증,Nonobstructive hypertrophic cardiomyopathy,,희귀,V127
I42.3,뢰플러심내막염,Loffler’s endocarditis,,희귀,V127
I42.3,심내막심근(열대성)섬유증,Endomyocardial(tropical) fibrosis,,희귀,V127
I42.3,심내막심근(호산구성)병,Endomyocardial(eosinophilic) disease,,희귀,V127
I42.4,선천성 심근병증,Congenital cardiomyopathy,,희귀,V127
I42.4,심내막탄력섬유증,Endocardial fibroelastosis,,희귀,V127
I42.80,부정맥유발성 우심실 형성이상,Arrhythmogenic right ventricular dysplasia,,극희귀,V900
I47.2,카테콜라민 다형성 심실성 빈맥,Catecholaminergic polymorphic ventricular tachycardia,,극희귀,V900
I49.82,긴QT증후군,Long QT syndrome,,희귀,V296
I67.5,모야모야병,Moyamoya disease,,희귀,V128
I73.1,폐색혈전혈관염[버거병],Thromboangiitis obliterans[Buerger],,희귀,V129
I78.0,랑뒤-오슬러-웨버병,Rendu-Osler-Weber disease,,희귀,V235
I78.0,유전성 출혈성 모세혈관확장증,Hereditary haemorrhagic telangiectasia,,희귀,V297
I82.0,버드-키아리증후군,Budd-Chiari syndrome,,희귀,V173
J39.8,"섬모체, 원발성 이상운동증","Ciliary, primary dyskinesia",,극희귀,V900
J84.0,폐포단백질증,Alveolar proteinosis,,희귀,V222
J84.1,특발성 폐섬유증,Idiopathic pulmonary fibrosis,,희귀,V236
K00.51,불완전상아질형성,Dentinogenesis imperfecta,,희귀,V310
K50.0,소장의 크론병,Crohn’s disease of small intestine,,희귀,V130
K50.1,대장의 크론병,Crohn’s disease of large intestine,,희귀,V130
K50.8,소장 및 대장 모두의 크론병,Crohn’s disease of both small and large intestine,,희귀,V130
K56.0,가성 장 폐색,Intestinal pseudo-obstruction,신규,희귀,V312
K74.3,원발성 담즙성 경변증,Primary biliary cirrhosis,,희귀,V174
K75.4,자가면역성 간염,Autoimmune hepatitis,,희귀,V175
K83.0,원발성 담관염/경화성 담관염(두 상병 진단기준 모두 충족하는 경우),Primary cholangitis/Sclerosing cholangitis,,희귀,V262
L10.0,보통천포창,Pemphigus vulgaris,,희귀,V132
L10.2,낙엽천포창,Pemphigus foliaceus,,희귀,V210
L12.0,수포성 유사천포창,Bullous pemphigoid,,희귀,V211
L12.1,양성 점막유사천포창,Benign mucous membrane pemphigoid,,희귀,V212
L12.1,흉터유사천포창,Cicatricial pemphigoid,,희귀,V212
L12.3,후천성 수포성 표피박리증,Acquired epidermolysis bullosa,,희귀,V176
L40.1,전신농포건선,Generalized pustular psoriasis,신규,희귀,V313
L73.22,중증 화농성 한선염,"Hidradenitis suppurativa, severe",,희귀,V309
M06.1,성인발병 스틸병,Adult-onset Still’s disease,,희귀,V298
M08.0,류마티스인자가 있거나 없는 연소성 류마티스관절염,Juvenile rheumatoid arthritis with or without rheumatoid factor,,희귀,V133
M08.0,연소성 류마티스관절염,Juvenile rheumatoid arthritis,,희귀,V133
M08.1,연소성 강직척추염,Juvenile ankylosing spondylitis,,희귀,V133
M08.2,전신적으로 발병된 연소성 관절염,Juvenile arthritis with systemic onset,,희귀,V133
M08.3,(혈청검사음성인) 연소성 다발관절염,Juvenile polyarthritis (seronegative),,희귀,V133
M08.3,만성 연소성 다발관절염,Chronic juvenile polyarthritis,,희귀,V133
M30.0,결절성 다발동맥염,Polyarteritis nodosa,,희귀,V134
M30.1,폐침범을 동반한 다발동맥염[처그-스트라우스],Polyarteritis with lung involvement [Churg- Strauss],,희귀,V134
M30.2,연소성 다발동맥염,Juvenile polyarteritis,,희귀,V134
M31.0,굿파스쳐증후군,Goodpasture’s syndrome,,희귀,V135
M31.1,혈전성 미세혈관병증,Thrombotic microangiopathy,,희귀,V135
M31.1,혈전성 혈소판감소성 자반,Thrombotic thrombocytopenic purpura,,희귀,V135
M31.3,괴사성 호흡기육아종증,Necrotizing respiratory granulomatosis,,희귀,V135
M31.3,베게너육아종증,Wegener granulomatosis,,희귀,V135
M31.4,대동맥궁증후군[다까야수],Aortic arch syndrome [Takayasu],,희귀,V135
M31.7,현미경적 다발동맥염,Microscopic polyarteritis,,희귀,V238
M32.1,기관 또는 계통 침범을 동반한 전신홍반루푸스,Systemic lupus erythematosus with organ or system involvement,,희귀,V136
M32.1,루푸스 심장낭염(I32.8*),Lupus pericarditis(I32.8*),,희귀,V136
M32.1,리브만-삭스병(I39.-*),Libman-Sacks disease(I39.-*),,희귀,V136
M32.1,사구체질환 동반 전신홍반루푸스(N08.5*),Systemic lupus erythematosus with glomerular disease(N08.5*),,희귀,V136
M32.1,세뇨관-간질신장병증 동반 전신홍반루푸스(N16.4*),Systemic lupus erythematosus with tubulo-interstitial nephropathy(N16.4*),,희귀,V136
M32.1,"신장침범 동반 전신홍반루푸스(N08.5*, N16.4*)","Systemic lupus erythematosus with kidney involvement(N08.5*, N16.4*)",,희귀,V136
M32.1,심내막염 동반 전신홍반루푸스(I39.8*),Systemic lupus erythematosus with endocarditis(I39.8*),,희귀,V136
M32.1,전신홍반루푸스에서의 근병증(G73.7*),Myopathy in systemic lupus erythematosus(G73.7*),,희귀,V136
M32.1,전신홍반루푸스에서의 뇌염(G05.8*),Encephalitis in systemic lupus erythematosus(G05.8*),,희귀,V136
M32.1,전신홍반루푸스에서의 대뇌동맥염(I68.2*),Cerebral arteritis in systemic lupus erythematosus(I68.2*),,희귀,V136
M32.1,폐침범 동반 전신홍반루푸스(J99.1*),Systemic lupus erythematosus with lung involvement(J99.1*),,희귀,V136
M33.0,연소성 피부근염,Juvenile dermatomyositis,,희귀,V137
M33.1,기타 피부근염,Other dermatomyositis,,희귀,V137
M33.2,다발근염,Polymyositis,,희귀,V137
M34.0,진행성 전신경화증,Progressive systemic sclerosis,,희귀,V138
M34.1,"석회증, 레이노현상, 식도기능장애, 경지증(硬指症), 모세혈관확장의 조합","Combination of calcinosis, Raynaud’s phenomenon, (o)esophageal dysfunction, sclerodactyly, telangiectasia",,희귀,V138
M34.1,크레스트증후군,CR(E)ST syndrome,,희귀,V138
M34.8,근병증을 동반한 전신경화증†(G73.7*),Systemic sclerosis with myopathy(G73.7*),,희귀,V138
M34.8,폐침범을 동반한 전신경화증†(J99.1*),Systemic sclerosis with lung involvement(J99.1*),,희귀,V138
M35.0,각막결막염을(를) 동반한 쉐그렌증후군(H19.3*),Sjogren’s syndrome with keratoconjunctivitis(H19.3*),,희귀,V139
M35.0,건조증후군[쉐그렌],Sicca syndrome[Sjögren],,희귀,V139
M35.0,근병증을(를) 동반한 쉐그렌증후군(G73.7*),Sjogren’s syndrome with myopathy(G73.7*),,희귀,V139
M35.0,신세뇨관-간질성 장애을(를) 동반한 쉐그렌증후군(N16.4*),Sjogren’s syndrome with renal tubulo-interstitial disorder(N16.4*),,희귀,V139
M35.0,폐침범을(를) 동반한 쉐그렌증후군(J99.1*),Sjogren’s syndrome with lung involvement(J99.1*),,희귀,V139
M35.1,혼합결합조직병,Mixed connective tissue disease,,희귀,V139
M35.2,베체트병,Behçet’s disease,,희귀,V139
M35.3,류마티스성 다발근통,Polymyalgia rheumatica,,희귀,V139
M35.4,미만성(호산구성) 근막염,Diffuse(eosinophilic) fasciitis,,희귀,V139
M35.5,다초점 섬유경화증,Multifocal fibrosclerosis,,희귀,V139
M35.6,재발성 지방층염[웨버-크리스찬],Relapsing panniculitis[Weber-Christian],,희귀,V139
M61.1,진행성 골화섬유형성이상,Fibrodysplasia ossificans progressiva,,희귀,V224
M88.0,두개골의 파젯병,Paget’s disease of skull,,희귀,V213
M88.8,기타 뼈의 파젯병,Paget’s disease of other bones,,희귀,V213
M88.9,상세불명의 뼈의 파젯병,"Paget’s disease of bone, unspecified",,희귀,V213
M92.2,수근반달뼈의 골연골증(연소성)[킨뵉],Osteochondrosis (juvenile) of carpal lunate [Kienbock],,희귀,V299
M93.1,성인의 킨뵉병,Kienböck’s disease of adults,,희귀,V299
M94.1,재발성 다발연골염,Relapsing polychondritis,,희귀,V178
N04.0,소사구체이상을 동반한 신증후군,nephrotic syndrome with minor glomerular abnormality,,희귀,V263
N04.0,최소변화병변을 동반한 신증후군,nephrotic syndrome with minimal change lesion,,희귀,V263
N04.1,초점성 및 분절성 경화증을 동반한 신증후군,nephrotic syndrome with focal and segmental sclerosis,,희귀,V263
N04.1,초점성 및 분절성 사구체병변을 동반한 신증후군,nephrotic syndrome with focal and segmental glomerular lesions,,희귀,V263
N04.1,초점성 및 분절성 유리질증을 동반한 신증후군,nephrotic syndrome with focal and segmental hyalinosis,,희귀,V263
N04.1,초점성 사구체신염을 동반한 신증후군,nephrotic syndrome with focal glomerulonephritis,,희귀,V263
N04.2,미만성 막성 사구체신염을 동반한 신증후군,nephrotic syndrome with diffuse membranous glomerulonephritis,,희귀,V263
N04.3,미만성 메산지음 증식성 사구체신염을 동반한 신증후군,nephrotic syndrome with diffuse mesangial proliferative glomerulonephritis,,희귀,V263
N04.4,미만성 모세혈관내 증식성 사구체신염을 동반한 신증후군,nephrotic syndrome with diffuse endocapillary proliferative glomerulonephritis,,희귀,V263
N04.5,"막증식성 사구체신염, 1형, 3형 또는 NOS를 동반한 신증후군","nephrotic syndrome with membranoproliferative glomerulonephritis, types 1 and 3, or NOS",,희귀,V263
N04.5,미만성 메산지음 모세혈관성 사구체신염을 동반한 신증후군,nephrotic syndrome with diffuse mesangiocapillary glomerulonephritis,,희귀,V263
N04.6,고밀도침착병을 동반한 신증후군,nephrotic syndrome with dense deposit disease,,희귀,V263
N04.6,"막증식성 사구체신염, 2형을 동반한 신증후군","nephrotic syndrome with membranoproliferative glomerulonephritis, type 2",,희귀,V263
N04.7,모세혈관외 사구체신염을 동반한 신증후군,nephrotic syndrome with extracapillary glomerulonephritis,,희귀,V263
N04.7,미만성 반월형 사구체신염을 동반한 신증후군,nephrotic syndrome with diffuse crescentic glomerulonephritis,,희귀,V263
N25.1,신장성 요붕증,Nephrogenic diabetes insipidus,,희귀,V141
P35.0,선천성 풍진증후군,Congenital rubella syndrome,,극희귀,V900
P35.4,선천성 지카 바이러스 질환,Congenital Zika virus disease,,극희귀,V900
Q03.1,댄디-워커증후군,Dandy-Walker syndrome,,희귀,V239
Q04.2,전전뇌증(全前腦症),Holoprosencephaly,,극희귀,V900
Q04.3,다발미세이랑증,Polymicrogyria,,극희귀,V900
Q04.3,무뇌수두증,Hydranencephaly,,극희귀,V900
Q04.3,무뇌이랑증,Agyria of brain,,희귀,V214
Q04.3,밀러-디커 증후군,Miller-Dieker syndrome,,극희귀,V900
Q04.3,소뇌무발생,Cerebellar agenesis,,극희귀,V900
Q04.3,주버트 증후군,Joubert syndrome,,극희귀,V900
Q04.3,큰뇌이랑증,Pachygyria,,희귀,V214
Q04.3,활택뇌증,Lissencephaly,,극희귀,V900
Q04.6,분열뇌증,Schizencephaly,,희귀,V240
Q05.0,수두증을 동반한 이분경추,Cervical spina bifida with hydrocephalus,,희귀,V179
Q05.1,수두증을 동반한 이분척추,Dorsal spina bifida with hydrocephalus,,희귀,V179
Q05.1,수두증을 동반한 이분흉요추,Thoracolumbar spina bifida with hydrocephalus,,희귀,V179
Q05.1,수두증을 동반한 이분흉추,Thoracic spina bifida with hydrocephalus,,희귀,V179
Q05.2,수두증을 동반한 이분요천추,Lumbosacral spina bifida with hydrocephalus,,희귀,V179
Q05.2,수두증을 동반한 이분요추,Lumbar spina bifida with hydrocephalus,,희귀,V179
Q05.3,수두증을 동반한 이분천추,Sacral spina bifida with hydrocephalus,,희귀,V179
Q05.4,수두증을 동반한 상세불명의 이분척추,Unspecified spina bifida with hydrocephalus,,희귀,V179
Q05.5,수두증이 없는 이분경추,Cervical spina bifida without hydrocephalus,,희귀,V179
Q05.6,수두증이 없는 이분흉추,Thoracic spina bifida without hydrocephalus,,희귀,V179
Q05.6,이분척추 NOS,Dorsal spina bifida NOS,,희귀,V179
Q05.6,이분흉요추 NOS,Thoracolumbar spina bifida NOS,,희귀,V179
Q05.7,수두증이 없는 이분요추,Lumbar spina bifida without hydrocephalus,,희귀,V179
Q05.7,이분요천추 NOS,Lumbosacral spina bifida NOS,,희귀,V179
Q05.8,수두증이 없는 이분천골,Sacral spina bifida without hydrocephalus,,희귀,V179
Q05.9,상세불명의 이분척추,"Spina bifida, unspecified",,희귀,V179
Q06.2,척수이개증,Diastematomyelia,,희귀,V180
Q07.0,아놀드-키아리증후군,Arnold-Chiari syndrome,,희귀,V143
Q11.2,렌즈소안구증후군,Lenz microphthalmia syndrome,,극희귀,V900
Q13.1,무홍채증,Aniridia,,극희귀,V900
Q13.8,악센펠트-리이거 증후군,Axenfeld-Rieger syndrome,,극희귀,V900
Q14.1,X-연관 연소성 망막분리,X-linked juvenile retinoschisis,,극희귀,V900
Q14.2,나팔꽃 증후군,Morning glory syndrome,,극희귀,V900
Q15.0,선천녹내장,Congenital glaucoma,,극희귀,V900
Q16.1,"(외)이도의 선천성 결여, 폐쇄, 협착","Congenital absence, atresia and stricture of auditory canal(external)",,희귀,V291
Q17.2,소이증(小耳症),Microtia,,희귀,V291
Q20.0,동맥간존속,Persistent truncus arteriosus,,희귀,V144
Q20.0,총동맥간,Common arterial trunk,,희귀,V144
Q20.1,이중출구우심실,Double outlet right ventricle,,희귀,V144
Q20.1,타우시그-빙증후군,Taussig-Bing syndrome,,희귀,V144
Q20.2,이중출구좌심실,Double outlet left ventricle,,희귀,V144
Q20.3,대동맥의 우측전위,Dextrotransposition of aorta,,희귀,V144
Q20.3,대혈관의 (완전)전위,Transposition of great vessels (complete),,희귀,V144
