"시·군·구별","전문인력별","급여종류별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"수영구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","6","6","6","6","7","7","7","7","9",
"수영구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"수영구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","6","6","6","6","7","7","7","7","9",
"수영구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","7","7","8","7","6","7","14","16","14","20",
"수영구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","5","5","5","5","6","13","13","11","17",
"수영구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","2","3","2","1","1","1","3","3","3",
"수영구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","16","16","17","13","16","14","18","14","14","25",
"수영구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","3","3","4","5","8","5","6","13",
"수영구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","15","15","14","10","12","9","10","9","8","12",
"수영구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"수영구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"수영구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"수영구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","6","6","7","6","7","7","7","8","8","9",
"수영구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","2","3","3","3","4","4","3",
"수영구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","5","6","4","4","4","4","4","4","6",
"수영구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","650","755","847","989","1194","1410","1734","1740","2038","2470",
"수영구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","543","637","724","901","1113","1324","1650","1656","1952","2370",
"수영구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","109","119","125","89","82","86","84","84","86","104",
"수영구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","4","2","2","2","2","2","2","2","3",
"수영구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"수영구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","4","2","2","2","2","2","2","2","3",
"사상구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","31","41","52","40","55","63","72","89","88","97",
"사상구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","19","24","31","26","43","47","55","72","72","81",
"사상구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","12","17","21","14","12","16","17","17","16","16",
"사상구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","5","4","5","8","5","6","6","6","4",
"사상구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"사상구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","5","4","5","8","5","6","6","6","4",
"사상구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","2","2","1","1","4","2","2",
"사상구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","3","1","1",
"사상구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","2","2","1","1","1","1","1",
"사상구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","19","21","23","17","25","26","35","35","35","38",
"사상구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","3","4","3","9","9","17","17","17","21",
"사상구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","17","18","19","14","16","17","18","18","18","17",
"사상구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"사상구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"사상구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"사상구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","8","8","8","8","6","7","9","13","12","10",
"사상구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","2","1","1","1","1","3","5","4","3",
"사상구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","7","6","7","7","5","6","6","8","8","7",
"사상구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","662","617","863","978","938","1050","1090","1346","1468","1533",
"사상구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","520","468","711","849","798","893","939","1182","1317","1390",
"사상구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","143","150","153","130","141","157","151","164","152","144",
"사상구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","4","5","6","5","4","5","5","5","5",
"사상구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","1","1","2","1","1","1",
"사상구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","3","4","5","4","3","3","4","4","4",
"기장군","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","34","54","59","54","69","88","106","121","140","163",
"기장군","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","8","22","25","29","42","56","71","79","97","121",
"기장군","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","26","32","34","25","27","32","35","42","43","42",
"기장군","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","1","2","6","8","6","7","7","7","6",
"기장군","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","1",
"기장군","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","1","2","6","8","6","7","7","7","6",
"기장군","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","10","11","13","11","11","13","9","10","10","10",
"기장군","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","6","5","2","4","5","5","5","4","6",
"기장군","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","9","8","9","9","7","8","4","5","6","4",
"기장군","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","34","36","38","40","39","45","52","54","57","63",
"기장군","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","5","8","9","13","15","19","20","20","25",
"기장군","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","33","35","35","35","32","36","38","38","41","41",
"기장군","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"기장군","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"기장군","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"기장군","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","12","11","13","12","12","13","13","13","15","15",
"기장군","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","4","4","3","4","4","3","3","3","3",
"기장군","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","11","10","11","10","11","11","12","12","13","13",
"기장군","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","722","803","949","1086","1343","1558","1895","2001","2121","2522",
"기장군","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","399","464","590","782","1037","1225","1542","1628","1748","2146",
"기장군","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","330","348","368","317","322","350","371","380","379","386",
"기장군","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","9","8","9","9","9","9","10","9","8","8",
"기장군","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"기장군","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","9","8","9","9","9","9","10","9","8","8",
"대구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","356","512","604","639","828","1016","1254","1448","1620","1769",
"대구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","189","308","370","437","608","770","968","1130","1268","1412",
"대구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","175","210","239","205","220","249","289","319","356","359",
"대구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","52","56","55","73","125","122","126","124","131","134",
"대구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","3","3","3","2","2","3","3","5","4",
"대구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","51","55","54","72","124","121","125","123","129","132",
"대구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","152","140","123","123","131","139","168","172","175","180",
"대구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","57","48","34","37","44","56","79","79","84","91",
"대구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","104","95","90","87","89","85","92","94","92","89",
"대구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","389","406","430","444","473","507","579","602","639","674",
"대구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","151","173","187","206","216","229","290","316","330","342",
"대구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","295","311","331","330","342","355","374","376","398","418",
"대구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","1","1","1","1","-","0",
"대구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","1","1","1","1","-","0",
"대구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"대구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","76","78","83","76","72","83","95","111","126","137",
"대구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","10","10","14","7","9","14","21","27","36","33",
"대구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","69","72","76","73","70","77","85","92","100","110",
"대구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","11905","12514","13896","14618","15872","17547","20523","21827","24228","26836",
"대구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","9820","10315","11533","12204","13295","14780","17541","18762","21043","23500",
"대구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","2297","2406","2578","2590","2770","2959","3154","3235","3344","3514",
"대구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","42","43","45","49","50","53","57","59","60","55",
"대구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","0","0","0","1","2","5","3","3","2",
"대구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","41","43","45","49","50","52","53","57","58","54",
"중구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","16","21","28","35","40","44","50","50","53","55",
"중구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","10","15","22","27","32","37","40","45","46","49",
"중구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","6","6","6","8","8","7","10","6","8","7",
"중구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","7","6","7","7","6","6","6","7","6",
"중구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","1","0","0","0","-","-","-","1","1",
"중구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","7","6","7","7","6","6","6","6","5",
"중구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","2","2","2","2","2","3","4","5","5",
"중구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","1","1","1","1","-","1","2","3","3",
"중구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","2","2","2","2","2","2","2",
"중구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","17","14","14","16","15","15","15","14","14","15",
"중구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","7","8","5","6","8","8","8","8","8","9",
"중구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","13","10","10","12","10","10","12","9","9","8",
"중구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"중구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"중구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"중구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","3","3","5","4","4","5","5","4","4",
"중구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","0","2","0","2","2","3","2","2","2",
"중구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","3","3","5","4","3","3","3","2","2",
"중구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","570","536","603","616","710","736","859","859","977","1091",
"중구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","498","472","539","548","640","666","786","792","911","1022",
"중구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","72","65","65","75","73","73","78","70","70","70",
"중구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","1","1","1","1","1","1",
"중구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"중구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","1","1","1","1","1","1",
"동구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","79","95","106","128","170","213","276","314","328","335",
"동구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","41","55","62","83","122","166","220","254","267","276",
"동구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","40","41","45","46","48","47","56","60","61","59",
"동구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","22","22","15","19","23","25","26","25","26","25",
"동구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","1","1","1","0",
"동구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","22","22","15","19","23","25","26","25","26","25",
"동구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","35","33","27","25","18","20","19","21","22","25",
"동구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","14","12","9","8","5","11","8","8","8","10",
"동구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","23","21","18","17","13","9","11","13","14","15",
"동구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","75","81","82","87","92","98","115","117","120","118",
"동구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","30","39","42","45","44","46","64","67","67","61",
"동구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","54","58","60","62","65","67","69","67","66","66",
"동구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","1","1","1","-","-","0",
"동구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","1","1","1","1","1","1","-","-","0",
"동구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"동구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","15","14","16","14","12","14","16","18","18","18",
"동구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","2","1","0","1","2","3","3","4","3",
"동구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","14","13","15","14","12","13","14","16","15","15",
"동구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","2783","2837","3131","3247","3778","4156","4885","5130","5615","5949",
"동구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","2343","2397","2650","2787","3281","3646","4331","4551","5034","5354",
"동구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","469","470","516","497","530","539","576","593","594","612",
"동구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","9","10","10","12","11","10","11","12","12","11",
"동구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","0","0","0","0","-","1","2","2","1",
"동구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","8","10","10","12","11","10","10","10","10","10",
"서구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","38","51","61","59","72","86","117","134","158","175",
"서구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","14","17","22","28","45","57","77","90","113","132",
"서구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","24","34","39","31","27","29","41","44","46","43",
"서구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","2","2","5","21","19","19","17","19","21",
"서구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"서구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","2","2","5","21","19","19","17","19","21",
"서구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","14","13","9","9","11","10","12","10","10","16",
"서구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","7","5","1","0","2","3","5","4","5","8",
"서구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","8","8","8","9","9","8","7","6","5","8",
"서구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","54","53","63","65","66","67","72","73","77","80",
"서구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","24","20","17","24","22","21","25","26","31","34",
"서구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","41","44","55","52","54","54","57","58","59","58",
"서구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"서구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"서구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"서구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","8","9","10","10","10","12","13","15","17","19",
"서구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","2","2","2","1","2","3","3","4","4",
"서구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","7","8","9","9","9","10","12","14","16","16",
"서구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1236","1155","1441","1614","1800","2117","2570","2690","3017","3248",
"서구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","963","840","1088","1250","1426","1731","2146","2242","2570","2795",
"서구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","283","322","369","376","392","395","435","454","460","459",
"서구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","6","7","6","6","6","7","8","9","9",
"서구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"서구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","6","7","6","6","6","7","8","9","9",
"남구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","37","64","66","56","76","94","115","130","153","163",
"남구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","18","36","36","38","56","71","92","101","121","132",
"남구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","19","28","30","18","20","23","23","29","32","31",
"남구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","3","5","10","15","13","16","15","15","16",
"남구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"남구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","3","5","10","15","13","16","15","15","16",
"남구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","11","9","15","12","14","12","13","16","13","14",
"남구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","3","4","2","5","5","2","4","3","5",
"남구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","11","7","12","10","9","7","11","12","10","9",
"남구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","40","45","44","42","41","45","46","48","53","52",
"남구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","8","9","9","15","14","15","16","20","23","22",
"남구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","37","42","43","35","33","35","33","34","36","37",
"남구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"남구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"남구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"남구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","13","13","13","8","7","5","7","8","8","9",
"남구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","4","4","2","1","-","-","1","1","1",
"남구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","10","10","10","6","6","5","7","7","7","8",
"남구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","1105","1421","1470","1793","1900","2149","2576","2781","3151","3518",
"남구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","887","1170","1200","1525","1628","1852","2261","2450","2813","3171",
"남구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","227","257","277","270","279","304","319","338","344","352",
"남구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","4","4","4","4","5","5","4","4","4",
"남구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","1","-","-","0",
"남구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","4","4","4","4","5","4","4","4","4",
"북구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","48","86","110","116","144","175","207","260","284","317",
"북구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","30","63","79","86","105","127","151","193","207","240",
"북구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","21","25","33","31","39","50","57","67","77","77",
"북구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","6","11","15","13","24","24","27","31","33","38",
"북구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","1","2","2","1","1","1","1","1","1","1",
"북구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","5","10","14","12","23","23","26","30","32","37",
"북구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","20","17","17","22","26","35","38","41","42","41",
"북구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","8","6","2","6","8","13","17","22","22","24",
"북구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","14","13","15","16","18","22","21","19","20","17",
"북구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","69","71","81","83","93","100","110","117","127","145",
"북구","간호조무사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","22","31","42","43","47","48","55","59","62","71",
"북구","간호조무사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","55","57","61","62","66","73","78","82","88","97",
"북구","치과위생사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","1","-","0",
"북구","치과위생사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","1","-","0",
"북구","치과위생사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"북구","물리(작업)치료사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","12","13","15","13","14","19","21","23","27","31",
"북구","물리(작업)치료사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","2","1","2","1","1","4","5","7","10","8",
"북구","물리(작업)치료사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","11","12","14","13","14","17","17","17","18","23",
"북구","요양보호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","2380","2606","2828","3040","3214","3413","3992","4334","4920","5655",
"북구","요양보호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","2048","2259","2413","2599","2731","2824","3360","3704","4246","4958",
"북구","요양보호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","362","394","440","461","499","607","647","650","687","714",
"북구","영양사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","5","5","7","8","9","10","10","10","8",
"북구","영양사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","0","-","-","-","-","0",
"북구","영양사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","4","5","5","7","8","9","10","10","10","8",
"수성구","사회복지사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","50","63","78","76","114","129","161","182","218","237",
"수성구","사회복지사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","38","52","62","64","95","113","144","160","197","217",
"수성구","사회복지사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","13","12","17","13","19","17","18","22","21","20",
"수성구","의사(계약의사포함)","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","3","3","8","15","12","14","13","14","12",
"수성구","의사(계약의사포함)","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","0","0","0","0","1","1","1","1","2","2",
"수성구","의사(계약의사포함)","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","3","3","3","8","15","12","14","13","14","12",
"수성구","간호사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","16","18","17","13","16","15","19","18","15","15",
"수성구","간호사","재가","시·군·구별 장기요양기관 전문인력 현황[명]","명","7","8","7","7","8","11","12","11","8","9",
"수성구","간호사","시설","시·군·구별 장기요양기관 전문인력 현황[명]","명","9","10","10","6","8","5","8","8","7","6",
"수성구","간호조무사","계","시·군·구별 장기요양기관 전문인력 현황[명]","명","34","35","36","36","42","43","48","54","57","54",
