"80 ~ 84세","계","급여제공일수 (일)",55941316,28621491,774102,186649,9715037,26022,0,15460082,1131373,26560,25871084,13719373,329180,91355,5203475,12275,0,6108725,390206,16495,21584300,10121728,329547,69679,3702929,11812,0,6814724,523816,10065,440848,250907,7894,1506,72958,110,0,99647,7826,0,8045084,4529483,107481,24109,735675,1825,0,2436986,209525,0
"80 ~ 84세","계","급여비용 (천원)",3282236002,1382737200,58045739,9727130,584110458,1543054,79064572,1086983527,78225360,1798963,1495807012,660569257,24644519,4824311,311331876,716207,36454955,429199094,26956051,1110742,1275078654,477536374,24885927,3610890,224034498,701712,27666137,479629484,36325413,688221,25375386,12163321,587547,74059,4388025,7132,660246,6953244,541812,0,485974951,232468248,7927746,1217871,44356058,118003,14283235,171201705,14402085,0
"80 ~ 84세","계","공단부담금 (천원)",2974090704,1260591601,52753924,8792011,532655377,1413514,71625343,973602349,71037540,1619046,1277784228,569667631,21061305,4135131,273051565,627998,30987657,354748299,22534749,969893,1186437962,446961688,23211433,3369219,211075460,660763,25733795,441181976,33594476,649153,23893563,11494034,553439,69789,4172293,6750,620656,6470369,506231,0,485974951,232468248,7927746,1217871,44356058,118003,14283235,171201705,14402085,0
"80 ~ 84세","남자","급여이용수급자 (명)",69655,39558,9826,1641,14535,102,34848,14763,854,74,41517,23440,5418,959,9361,52,20263,7458,405,55,26725,14309,4082,609,5509,50,11989,6635,398,21,273,173,40,4,40,0,141,48,2,0,8090,5172,1097,182,958,6,4342,2054,139,0
"80 ~ 84세","남자","급여제공기관 (개)",20776,11580,2080,412,4346,47,1510,3848,656,22,17753,9901,1756,350,3806,36,1431,3038,363,21,15352,7963,1519,266,3116,30,1315,3066,367,13,458,199,46,5,49,0,131,51,2,0,7727,4088,740,133,941,6,959,1518,135,0
"80 ~ 84세","남자","급여제공일수 (일)",13067514,6836325,225325,57817,2370289,4819,0,3395887,169692,7360,6723712,3622610,111115,30955,1397671,2143,0,1485545,67817,5856,4605973,2237794,87227,20438,819303,2333,0,1367035,70339,1504,52385,30389,1103,255,7016,0,0,13154,468,0,1685444,945532,25880,6169,146299,343,0,530153,31068,0
"80 ~ 84세","남자","급여비용 (천원)",748179905,318049208,16733545,3039175,142372030,285604,20098261,235491666,11602849,507568,378878006,166881644,8231796,1656234,83523012,123997,10498081,102936078,4630818,396347,264712498,100945345,6516193,1058505,49629558,142747,6482726,94980345,4845856,111221,2945562,1400014,83151,12776,421336,0,86706,912071,29507,0,101643839,48822204,1902406,311659,8798124,18860,3030748,36663172,2096667,0
"80 ~ 84세","남자","공단부담금 (천원)",674437317,288413800,15072725,2730382,129175593,261864,18056203,209800394,10475983,450371,323931855,143908012,7030997,1420290,73262333,108655,8923644,85057782,3874310,345831,246090302,94360975,6061041,986402,46714576,134349,6020304,87230689,4477427,104540,2771320,1322609,78282,12031,400561,0,81507,848752,27579,0,101643839,48822204,1902406,311659,8798124,18860,3030748,36663172,2096667,0
"80 ~ 84세","여자","급여이용수급자 (명)",198374,120891,22692,3598,40898,371,100659,43196,3973,193,106184,65112,10472,1822,23811,191,50829,19523,1607,121,85769,49040,10707,1461,17784,159,39022,21535,2059,79,1857,1202,278,49,357,2,956,324,29,0,28110,18450,3386,578,3455,40,15992,6713,735,0
"80 ~ 84세","여자","급여제공기관 (개)",24822,13715,2467,491,5090,77,1578,4484,1691,29,22844,12728,2023,435,4813,64,1526,4138,1115,29,22389,11968,1954,407,4717,65,1494,4274,1297,24,2554,1260,255,48,389,2,489,315,33,0,15723,8714,1406,274,2482,27,1298,3125,622,0
"80 ~ 84세","여자","급여제공일수 (일)",42873802,21785166,548777,128832,7344748,21203,0,12064195,961681,19200,19147372,10096763,218065,60400,3805804,10132,0,4623180,322389,10639,16978327,7883934,242320,49241,2883626,9479,0,5447689,453477,8561,388463,220518,6791,1251,65942,110,0,86493,7358,0,6359640,3583951,81601,17940,589376,1482,0,1906833,178457,0
"80 ~ 84세","여자","급여비용 (천원)",2534056097,1064687992,41312194,6687955,441738428,1257450,58966311,851491861,66622512,1291395,1116929006,493687613,16412723,3168076,227808864,592210,25956874,326263016,22325234,714395,1010366157,376591028,18369734,2552384,174404940,558965,21183410,384649139,31479556,576999,22429824,10763307,504396,61283,3966690,7132,573539,6041173,512304,0,384331112,183646044,6025341,906212,35557934,99143,11252487,134538533,12305417,0
"80 ~ 84세","여자","공단부담금 (천원)",2299653388,972177800,37681198,6061629,403479783,1151650,53569140,763801955,60561558,1168674,953852373,425759619,14030308,2714841,199789232,519343,22064013,269690517,18660439,624062,940347660,352600713,17150392,2382817,164360884,526414,19713490,353951288,29117049,544612,21122243,10171426,475157,57758,3771732,6750,539149,5621618,478653,0,384331112,183646044,6025341,906212,35557934,99143,11252487,134538533,12305417,0
"85세이상","계","급여이용수급자 (명)",410792,230590,51455,7549,75526,1057,193187,118415,11092,394,213506,122729,23311,3759,42331,497,97885,52032,4438,227,187755,99249,25580,3157,34372,475,78644,60320,5949,183,6738,4092,1029,140,1190,15,3435,1643,135,0,51047,28760,6370,1047,5976,118,25487,17373,1763,0
"85세이상","계","급여제공기관 (개)",25681,14340,3450,559,5166,81,1602,4526,1933,32,24735,13627,2784,513,5045,78,1571,4485,1726,30,24577,13357,2714,487,4997,76,1544,4506,1834,27,6983,3506,724,111,1140,14,903,1254,130,0,19350,10097,1778,354,3354,53,1398,4095,1212,0
"85세이상","계","급여제공일수 (일)",92606939,42442998,1245793,255915,13771264,68725,0,32086961,2695385,39898,39933173,19623521,482531,117441,6842787,30785,0,11922290,891130,22688,39113745,16468363,581586,100554,5670518,30834,0,14904904,1339776,17210,1435931,737420,24320,4977,209627,781,0,429762,29044,0,12124090,5613694,157356,32943,1048332,6325,0,4830005,435435,0
"85세이상","계","급여비용 (천원)",5517164731,2013299706,92545399,13405287,835671462,3990143,111683908,2258615806,185238931,2714089,2344721751,936466259,35806808,6229165,413098763,1778088,49702052,838829825,61277183,1533608,2341215511,759480581,43477064,5228191,346142215,1804513,42241841,1049606904,92053720,1180482,83882795,34810210,1784036,260098,12622233,48871,2031359,30314318,2011668,0,747344675,282542655,11477491,1687833,63808251,358670,17708655,339864759,29896360,0
"85세이상","계","공단부담금 (천원)",4999111619,1834520952,84365060,12155660,764584369,3663747,101188862,2028015684,168164758,2452527,1995778646,807703627,30605600,5342142,362377750,1558243,42248173,693405260,51198295,1339556,2177114003,711379392,40601724,4880508,326398001,1700316,39322474,966528173,85190444,1112971,78874296,32895277,1680244,245178,12000367,46517,1909561,28217492,1879659,0,747344675,282542655,11477491,1687833,63808251,358670,17708655,339864759,29896360,0
"85세이상","남자","급여이용수급자 (명)",83428,50920,13001,1866,15396,138,41424,18470,1101,90,51106,31532,7156,1124,9762,76,24946,9585,500,55,33431,19380,5927,661,6060,58,14690,8725,555,37,1363,906,266,29,210,2,739,286,11,0,6367,4055,868,173,824,10,3384,1665,140,0
"85세이상","남자","급여제공기관 (개)",21517,12145,2195,444,4443,51,1510,3977,753,27,18691,10670,1846,391,3899,41,1441,3257,426,24,16792,8979,1690,294,3263,35,1357,3388,475,16,2011,1002,247,29,218,2,431,267,11,0,6777,3457,648,136,827,10,926,1338,141,0
"85세이상","남자","급여제공일수 (일)",15887518,8620414,288080,60785,2562471,7680,0,4117257,221946,8885,8400930,4786218,140177,33943,1485480,4625,0,1858992,85677,5818,5911180,2950973,122547,20233,912074,2679,0,1794482,105125,3067,260855,153071,5388,970,35171,24,0,64311,1920,0,1314553,730152,19968,5639,129746,352,0,399472,29224,0
"85세이상","남자","급여비용 (천원)",915613819,413373802,21639899,3194432,154186571,439539,22966812,284285809,14930586,596368,480444871,231865424,10505691,1800914,88968787,253538,12634480,128239878,5791977,384182,341997595,137391174,9264278,1050252,55300850,164386,7632118,123930018,7052332,212186,14831665,7236800,397086,52460,2102154,1864,421425,4497750,122126,0,78339688,36880404,1472844,290806,7814780,19751,2278789,27618163,1964150,0
"85세이상","남자","공단부담금 (천원)",821138262,372198765,19453618,2863547,139947215,399426,20508096,251795661,13437243,534692,410676249,199969878,8976074,1544686,78041897,222182,10739654,106012343,4834713,334821,318161211,128509638,8630740,978549,52091598,155702,7093497,113976958,6524657,199871,13961115,6838844,373959,49505,1998940,1791,396157,4188197,113722,0,78339688,36880404,1472844,290806,7814780,19751,2278789,27618163,1964150,0
"85세이상","여자","급여이용수급자 (명)",327364,179670,38454,5683,60130,919,151763,99945,9991,304,162400,91197,16155,2635,32569,421,72939,42447,3938,172,154324,79869,19653,2496,28312,417,63954,51595,5394,146,5375,3186,763,111,980,13,2696,1357,124,0,44680,24705,5502,874,5152,108,22103,15708,1623,0
"85세이상","여자","급여제공기관 (개)",25471,14145,3234,542,5137,81,1595,4521,1925,30,24247,13244,2568,477,4975,77,1563,4446,1656,28,24210,13043,2569,472,4937,75,1533,4493,1804,24,6050,2974,616,95,982,13,821,1085,122,0,18605,9635,1711,337,3116,52,1369,4026,1152,0
"85세이상","여자","급여제공일수 (일)",76719421,33822584,957713,195130,11208793,61045,0,27969704,2473439,31013,31532243,14837303,342354,83498,5357307,26160,0,10063298,805453,16870,33202565,13517390,459039,80321,4758444,28155,0,13110422,1234651,14143,1175076,584349,18932,4007,174456,757,0,365451,27124,0,10809537,4883542,137388,27304,918586,5973,0,4430533,406211,0
"85세이상","여자","급여비용 (천원)",4601550912,1599925904,70905500,10210855,681484890,3550604,88717096,1974329997,170308345,2117721,1864276881,704600836,25301118,4428251,324129976,1524550,37067573,710589947,55485205,1149426,1999217915,622089408,34212786,4177938,290841365,1640127,34609723,925676886,85001388,968296,69051129,27573410,1386950,207639,10520079,47008,1609934,25816568,1889542,0,669004987,245662251,10004647,1397026,55993471,338919,15429866,312246596,27932210,0
"85세이상","여자","공단부담금 (천원)",4177973357,1462322187,64911442,9292114,624637154,3264321,80680766,1776220023,154727516,1917835,1585102397,607733749,21629527,3797455,284335853,1336061,31508518,587392916,46363582,1004735,1858952792,582869754,31970984,3901959,274306403,1544614,32228978,852551215,78665787,913099,64913181,26056433,1306285,195674,10001427,44726,1513404,24029295,1765937,0,669004987,245662251,10004647,1397026,55993471,338919,15429866,312246596,27932210,0
