"시도별","설립구분별","급여종류별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"대구광역시","계","복지용구","기관수[개]","개","74","75","75","78","86","87","87","86","94","98",
"대구광역시","계","통합재가서비스","기관수[개]","개","","","","","","","","","0","1",
"대구광역시","계","시설","기관수[개]","개","251","252","261","257","257","244","252","260","266","265",
"대구광역시","계","시설","정원[명]","명","6126","6496","6766","7029","7642","7672","7987","8357","9079","9524",
"대구광역시","계","노인요양시설","기관수[개]","개","73","79","85","92","101","102","113","121","132","143",
"대구광역시","계","노인요양시설","정원[명]","명","4556","4998","5263","5562","6257","6409","6748","7114","7885","8439",
"대구광역시","계","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"대구광역시","계","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"대구광역시","계","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"대구광역시","계","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"대구광역시","계","노인요양공동생활가정","기관수[개]","개","178","173","176","165","156","142","139","139","134","122",
"대구광역시","계","노인요양공동생활가정","정원[명]","명","1570","1498","1503","1467","1385","1263","1239","1243","1194","1085",
"대구광역시","계","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"대구광역시","계","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"대구광역시","지방자치단체","계","기관수[개]","개","","","","","","1","2","-","0","0",
"대구광역시","지방자치단체","계","정원[명]","명","","","","","","20","20","-","0","0",
"대구광역시","지방자치단체","재가","기관수[개]","개","","","","","","1","2","-","0","0",
"대구광역시","지방자치단체","재가","정원[명]","명","","","","","","20","20","-","0","0",
"대구광역시","지방자치단체","방문요양","기관수[개]","개","","","","","","-","1","-","0","0",
"대구광역시","지방자치단체","방문목욕","기관수[개]","개","","","","","","-","-","-","0","0",
"대구광역시","지방자치단체","방문간호","기관수[개]","개","","","","","","-","-","-","0","0",
"대구광역시","지방자치단체","주야간보호","기관수[개]","개","","","","","","1","1","-","0","0",
"대구광역시","지방자치단체","주야간보호","정원[명]","명","","","","","","20","20","-","0","0",
"대구광역시","지방자치단체","단기보호","기관수[개]","개","","","","","","-","-","-","0","0",
"대구광역시","지방자치단체","단기보호","정원[명]","명","","","","","","-","-","-","0","0",
"대구광역시","지방자치단체","복지용구","기관수[개]","개","","","","","","-","-","-","0","0",
"대구광역시","지방자치단체","통합재가서비스","기관수[개]","개","","","","","","","","","0","0",
"대구광역시","지방자치단체","시설","기관수[개]","개","","","","","","-","-","-","0","0",
"대구광역시","지방자치단체","시설","정원[명]","명","","","","","","-","-","-","0","0",
"대구광역시","지방자치단체","노인요양시설","기관수[개]","개","","","","","","-","-","-","0","0",
"대구광역시","지방자치단체","노인요양시설","정원[명]","명","","","","","","-","-","-","0","0",
"대구광역시","지방자치단체","노인요양공동생활가정","기관수[개]","개","","","","","","-","-","-","0","0",
"대구광역시","지방자치단체","노인요양공동생활가정","정원[명]","명","","","","","","-","-","-","0","0",
"대구광역시","법인","계","기관수[개]","개","190","178","172","180","174","152","172","175","172","179",
"대구광역시","법인","계","정원[명]","명","4505","4468","4650","4809","5215","4979","5242","5537","5915","6186",
"대구광역시","법인","재가","기관수[개]","개","119","116","114","122","116","102","119","120","117","122",
"대구광역시","법인","재가","정원[명]","명","682","664","761","902","997","887","1157","1359","1453","1588",
"대구광역시","법인","방문요양","기관수[개]","개","79","81","79","84","78","71","89","90","84","86",
"대구광역시","법인","방문목욕","기관수[개]","개","53","53","51","54","47","33","32","34","28","28",
"대구광역시","법인","방문간호","기관수[개]","개","8","6","5","4","3","5","4","5","4","4",
"대구광역시","법인","주야간보호","기관수[개]","개","38","37","40","42","39","33","41","44","47","49",
"대구광역시","법인","주야간보호","정원[명]","명","652","640","741","882","982","880","1153","1355","1449","1576",
"대구광역시","법인","단기보호","기관수[개]","개","7","5","4","4","3","2","1","1","1","2",
"대구광역시","법인","단기보호","정원[명]","명","30","24","20","20","15","7","4","4","4","12",
"대구광역시","법인","복지용구","기관수[개]","개","16","15","14","16","15","15","14","13","16","17",
"대구광역시","법인","통합재가서비스","기관수[개]","개","","","","","","","","","0","1",
"대구광역시","법인","시설","기관수[개]","개","71","62","58","58","58","50","53","55","55","57",
"대구광역시","법인","시설","정원[명]","명","3823","3804","3889","3907","4218","4092","4085","4178","4462","4598",
"대구광역시","법인","노인요양시설","기관수[개]","개","48","45","46","45","47","43","43","44","47","49",
"대구광역시","법인","노인요양시설","정원[명]","명","3621","3654","3786","3793","4122","4032","3998","4079","4390","4526",
"대구광역시","법인","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"대구광역시","법인","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"대구광역시","법인","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"대구광역시","법인","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"대구광역시","법인","노인요양공동생활가정","기관수[개]","개","23","17","12","13","11","7","10","11","8","8",
"대구광역시","법인","노인요양공동생활가정","정원[명]","명","202","150","103","114","96","60","87","99","72","72",
"대구광역시","법인","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"대구광역시","법인","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"대구광역시","개인","계","기관수[개]","개","658","693","764","848","887","948","1177","1174","1207","1240",
"대구광역시","개인","계","정원[명]","명","3391","4125","4782","5765","6801","8036","10720","11894","13218","14102",
"대구광역시","개인","재가","기관수[개]","개","479","504","562","651","689","754","978","969","996","1032",
"대구광역시","개인","재가","정원[명]","명","1096","1441","1913","2660","3386","4456","6818","7715","8601","9176",
"대구광역시","개인","방문요양","기관수[개]","개","390","401","451","523","554","604","805","795","814","857",
"대구광역시","개인","방문목욕","기관수[개]","개","329","336","367","415","432","445","498","469","461","457",
"대구광역시","개인","방문간호","기관수[개]","개","26","21","17","24","24","25","28","27","25","28",
"대구광역시","개인","주야간보호","기관수[개]","개","75","98","123","147","168","195","260","267","277","275",
"대구광역시","개인","주야간보호","정원[명]","명","860","1207","1720","2478","3276","4356","6720","7628","8533","9125",
"대구광역시","개인","단기보호","기관수[개]","개","43","41","30","23","15","15","15","15","11","7",
"대구광역시","개인","단기보호","정원[명]","명","236","234","193","182","110","100","98","87","68","51",
"대구광역시","개인","복지용구","기관수[개]","개","58","60","61","62","70","71","72","72","77","81",
"대구광역시","개인","통합재가서비스","기관수[개]","개","","","","","","","","","0","0",
"대구광역시","개인","시설","기관수[개]","개","179","189","202","197","198","194","199","205","211","208",
"대구광역시","개인","시설","정원[명]","명","2295","2684","2869","3105","3415","3580","3902","4179","4617","4926",
"대구광역시","개인","노인요양시설","기관수[개]","개","25","34","39","47","54","59","70","77","85","94",
"대구광역시","개인","노인요양시설","정원[명]","명","935","1344","1477","1769","2135","2377","2750","3035","3495","3913",
"대구광역시","개인","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"대구광역시","개인","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"대구광역시","개인","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"대구광역시","개인","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"대구광역시","개인","노인요양공동생활가정","기관수[개]","개","154","155","163","150","144","135","129","128","126","114",
"대구광역시","개인","노인요양공동생활가정","정원[명]","명","1360","1340","1392","1336","1280","1203","1152","1144","1122","1013",
"대구광역시","개인","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"대구광역시","개인","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"대구광역시","기타","계","기관수[개]","개","4","3","3","4","4","2","3","4","3","0",
"대구광역시","기타","계","정원[명]","명","15","15","15","24","9","20","20","43","23","0",
"대구광역시","기타","재가","기관수[개]","개","3","2","2","2","3","2","3","4","3","0",
"대구광역시","기타","재가","정원[명]","명","7","7","7","7","0","20","20","43","23","0",
"대구광역시","기타","방문요양","기관수[개]","개","3","2","2","2","2","1","2","2","2","0",
"대구광역시","기타","방문목욕","기관수[개]","개","1","1","1","1","2","1","2","2","1","0",
"대구광역시","기타","방문간호","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"대구광역시","기타","주야간보호","기관수[개]","개","0","0","0","0","0","1","1","2","1","0",
"대구광역시","기타","주야간보호","정원[명]","명","0","0","0","0","0","20","20","43","23","0",
"대구광역시","기타","단기보호","기관수[개]","개","1","1","1","1","0","-","-","-","0","0",
"대구광역시","기타","단기보호","정원[명]","명","7","7","7","7","0","-","-","-","0","0",
"대구광역시","기타","복지용구","기관수[개]","개","0","0","0","0","1","1","1","1","1","0",
"대구광역시","기타","통합재가서비스","기관수[개]","개","","","","","","","","","0","0",
"대구광역시","기타","시설","기관수[개]","개","1","1","1","2","1","-","-","-","0","0",
"대구광역시","기타","시설","정원[명]","명","8","8","8","17","9","-","-","-","0","0",
"대구광역시","기타","노인요양시설","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"대구광역시","기타","노인요양시설","정원[명]","명","0","0","0","0","0","-","-","-","0","0",
"대구광역시","기타","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"대구광역시","기타","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"대구광역시","기타","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"대구광역시","기타","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"대구광역시","기타","노인요양공동생활가정","기관수[개]","개","1","1","1","2","1","-","-","-","0","0",
"대구광역시","기타","노인요양공동생활가정","정원[명]","명","8","8","8","17","9","-","-","-","0","0",
"대구광역시","기타","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"대구광역시","기타","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"인천광역시","계","계","기관수[개]","개","891","946","1070","1169","1225","1259","1529","1575","1643","1722",
"인천광역시","계","계","정원[명]","명","9317","10360","12011","13685","15094","16457","19852","22885","25267","27124",
"인천광역시","계","재가","기관수[개]","개","609","641","732","823","870","892","1131","1146","1176","1237",
"인천광역시","계","재가","정원[명]","명","894","1005","1495","2224","3075","3822","5943","7320","7814","8276",
"인천광역시","계","방문요양","기관수[개]","개","497","529","606","684","713","726","939","952","980","1026",
"인천광역시","계","방문목욕","기관수[개]","개","445","472","541","603","622","635","777","783","810","840",
"인천광역시","계","방문간호","기관수[개]","개","32","29","28","30","39","43","58","60","57","57",
"인천광역시","계","주야간보호","기관수[개]","개","40","48","60","83","106","125","187","212","214","226",
"인천광역시","계","주야간보호","정원[명]","명","643","821","1342","2116","2992","3747","5905","7273","7767","8211",
"인천광역시","계","단기보호","기관수[개]","개","30","23","20","15","11","10","7","7","7","8",
"인천광역시","계","단기보호","정원[명]","명","251","184","153","108","83","75","38","47","47","65",
"인천광역시","계","복지용구","기관수[개]","개","89","96","107","109","115","110","110","107","108","112",
"인천광역시","계","통합재가서비스","기관수[개]","개","","","","","","","","","0","1",
"인천광역시","계","시설","기관수[개]","개","282","305","338","346","355","367","398","429","467","485",
"인천광역시","계","시설","정원[명]","명","8423","9355","10516","11461","12019","12635","13909","15565","17453","18848",
"인천광역시","계","노인요양시설","기관수[개]","개","167","189","220","236","248","256","292","324","363","392",
"인천광역시","계","노인요양시설","정원[명]","명","7416","8380","9487","10488","11068","11657","12967","14630","16526","18020",
"인천광역시","계","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"인천광역시","계","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"인천광역시","계","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"인천광역시","계","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"인천광역시","계","노인요양공동생활가정","기관수[개]","개","115","116","118","110","107","111","106","105","104","93",
"인천광역시","계","노인요양공동생활가정","정원[명]","명","1007","975","1029","973","951","978","942","935","927","828",
"인천광역시","계","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"인천광역시","계","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"인천광역시","지방자치단체","계","기관수[개]","개","6","6","6","4","3","3","5","6","5","4",
"인천광역시","지방자치단체","계","정원[명]","명","153","153","153","120","105","105","144","153","131","114",
"인천광역시","지방자치단체","재가","기관수[개]","개","3","3","3","2","2","2","4","4","4","3",
"인천광역시","지방자치단체","재가","정원[명]","명","75","75","75","45","45","45","84","84","71","54",
"인천광역시","지방자치단체","방문요양","기관수[개]","개","3","3","3","2","2","2","3","3","3","2",
"인천광역시","지방자치단체","방문목욕","기관수[개]","개","2","2","2","1","1","1","2","2","2","1",
"인천광역시","지방자치단체","방문간호","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"인천광역시","지방자치단체","주야간보호","기관수[개]","개","3","3","3","2","2","2","4","4","3","2",
"인천광역시","지방자치단체","주야간보호","정원[명]","명","75","75","75","45","45","45","84","84","71","54",
"인천광역시","지방자치단체","단기보호","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"인천광역시","지방자치단체","단기보호","정원[명]","명","0","0","0","0","0","-","-","-","0","0",
"인천광역시","지방자치단체","복지용구","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"인천광역시","지방자치단체","통합재가서비스","기관수[개]","개","","","","","","","","","0","0",
"인천광역시","지방자치단체","시설","기관수[개]","개","3","3","3","2","1","1","1","2","1","1",
"인천광역시","지방자치단체","시설","정원[명]","명","78","78","78","75","60","60","60","69","60","60",
"인천광역시","지방자치단체","노인요양시설","기관수[개]","개","1","1","1","2","1","1","1","2","1","1",
"인천광역시","지방자치단체","노인요양시설","정원[명]","명","60","60","60","75","60","60","60","69","60","60",
"인천광역시","지방자치단체","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"인천광역시","지방자치단체","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"인천광역시","지방자치단체","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"인천광역시","지방자치단체","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"인천광역시","지방자치단체","노인요양공동생활가정","기관수[개]","개","2","2","2","0","0","-","-","-","0","0",
"인천광역시","지방자치단체","노인요양공동생활가정","정원[명]","명","18","18","18","0","0","-","-","-","0","0",
"인천광역시","지방자치단체","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"인천광역시","지방자치단체","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"인천광역시","법인","계","기관수[개]","개","118","118","115","119","122","123","138","140","144","148",
"인천광역시","법인","계","정원[명]","명","2652","2849","2898","3260","3265","3350","3715","4023","4060","4276",
"인천광역시","법인","재가","기관수[개]","개","69","69","69","72","76","78","92","92","96","96",
"인천광역시","법인","재가","정원[명]","명","205","232","219","334","327","483","819","964","979","1115",
"인천광역시","법인","방문요양","기관수[개]","개","59","59","59","60","66","64","75","73","77","75",
"인천광역시","법인","방문목욕","기관수[개]","개","46","46","46","47","50","50","59","61","64","60",
"인천광역시","법인","방문간호","기관수[개]","개","6","5","4","3","3","3","5","6","6","6",
"인천광역시","법인","주야간보호","기관수[개]","개","8","11","10","13","11","17","23","27","28","32",
"인천광역시","법인","주야간보호","정원[명]","명","172","199","190","305","298","454","806","951","966","1102",
"인천광역시","법인","단기보호","기관수[개]","개","4","4","3","3","3","3","2","2","2","2",
"인천광역시","법인","단기보호","정원[명]","명","33","33","29","29","29","29","13","13","13","13",
"인천광역시","법인","복지용구","기관수[개]","개","5","7","8","8","9","9","11","12","10","9",
"인천광역시","법인","통합재가서비스","기관수[개]","개","","","","","","","","","0","0",
"인천광역시","법인","시설","기관수[개]","개","49","49","46","47","46","45","46","48","48","52",
"인천광역시","법인","시설","정원[명]","명","2447","2617","2679","2926","2938","2867","2896","3059","3081","3161",
"인천광역시","법인","노인요양시설","기관수[개]","개","42","44","43","44","43","42","43","45","45","48",
"인천광역시","법인","노인요양시설","정원[명]","명","2384","2572","2652","2899","2911","2840","2869","3032","3054","3125",
"인천광역시","법인","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"인천광역시","법인","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"인천광역시","법인","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"인천광역시","법인","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"인천광역시","법인","노인요양공동생활가정","기관수[개]","개","7","5","3","3","3","3","3","3","3","4",
"인천광역시","법인","노인요양공동생활가정","정원[명]","명","63","45","27","27","27","27","27","27","27","36",
"인천광역시","법인","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"인천광역시","법인","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"인천광역시","개인","계","기관수[개]","개","762","819","946","1043","1096","1127","1382","1424","1490","1567",
"인천광역시","개인","계","정원[명]","명","6415","7249","8851","10137","11524","12802","15816","18483","21010","22677",
"인천광역시","개인","재가","기관수[개]","개","534","568","659","748","790","808","1033","1047","1074","1136",
"인천광역시","개인","재가","정원[명]","명","614","698","1201","1845","2671","3262","5008","6191","6732","7075",
"인천광역시","개인","방문요양","기관수[개]","개","432","466","543","621","644","657","859","874","898","947",
"인천광역시","개인","방문목욕","기관수[개]","개","394","423","492","554","570","581","715","719","743","778",
"인천광역시","개인","방문간호","기관수[개]","개","26","24","24","27","36","40","53","54","51","51",
"인천광역시","개인","주야간보호","기관수[개]","개","29","34","47","68","92","105","159","179","182","191",
"인천광역시","개인","주야간보호","정원[명]","명","396","547","1077","1766","2617","3216","4983","6157","6698","7023",
"인천광역시","개인","단기보호","기관수[개]","개","26","19","17","12","8","7","5","5","5","6",
"인천광역시","개인","단기보호","정원[명]","명","218","151","124","79","54","46","25","34","34","52",
"인천광역시","개인","복지용구","기관수[개]","개","84","89","99","101","106","101","99","95","98","103",
"인천광역시","개인","통합재가서비스","기관수[개]","개","","","","","","","","","0","1",
"인천광역시","개인","시설","기관수[개]","개","228","251","287","295","306","319","349","377","416","431",
"인천광역시","개인","시설","정원[명]","명","5801","6551","7650","8292","8853","9540","10808","12292","14278","15602",
"인천광역시","개인","노인요양시설","기관수[개]","개","122","142","174","188","202","211","246","275","316","342",
"인천광역시","개인","노인요양시설","정원[명]","명","4875","5639","6666","7346","7929","8589","9893","11384","13387","14810",
"인천광역시","개인","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"인천광역시","개인","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"인천광역시","개인","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"인천광역시","개인","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"인천광역시","개인","노인요양공동생활가정","기관수[개]","개","106","109","113","107","104","108","103","102","100","89",
"인천광역시","개인","노인요양공동생활가정","정원[명]","명","926","912","984","946","924","951","915","908","891","792",
"인천광역시","개인","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"인천광역시","개인","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"인천광역시","기타","계","기관수[개]","개","5","3","3","3","4","6","4","5","4","3",
"인천광역시","기타","계","정원[명]","명","97","109","109","168","200","200","177","226","66","57",
"인천광역시","기타","재가","기관수[개]","개","3","1","1","1","2","4","2","3","2","2",
"인천광역시","기타","재가","정원[명]","명","0","0","0","0","32","32","32","81","32","32",
"인천광역시","기타","방문요양","기관수[개]","개","3","1","1","1","1","3","2","2","2","2",
"인천광역시","기타","방문목욕","기관수[개]","개","3","1","1","1","1","3","1","1","1","1",
"인천광역시","기타","방문간호","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"인천광역시","기타","주야간보호","기관수[개]","개","0","0","0","0","1","1","1","2","1","1",
"인천광역시","기타","주야간보호","정원[명]","명","0","0","0","0","32","32","32","81","32","32",
"인천광역시","기타","단기보호","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"인천광역시","기타","단기보호","정원[명]","명","0","0","0","0","0","-","-","-","0","0",
"인천광역시","기타","복지용구","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"인천광역시","기타","통합재가서비스","기관수[개]","개","","","","","","","","","0","0",
"인천광역시","기타","시설","기관수[개]","개","2","2","2","2","2","2","2","2","2","1",
"인천광역시","기타","시설","정원[명]","명","97","109","109","168","168","168","145","145","34","25",
"인천광역시","기타","노인요양시설","기관수[개]","개","2","2","2","2","2","2","2","2","1","1",
"인천광역시","기타","노인요양시설","정원[명]","명","97","109","109","168","168","168","145","145","25","25",
"인천광역시","기타","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"인천광역시","기타","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"인천광역시","기타","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"인천광역시","기타","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"인천광역시","기타","노인요양공동생활가정","기관수[개]","개","0","0","0","0","0","-","-","-","1","0",
"인천광역시","기타","노인요양공동생활가정","정원[명]","명","0","0","0","0","0","-","-","-","9","0",
"인천광역시","기타","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"인천광역시","기타","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"광주광역시","계","계","기관수[개]","개","518","531","574","626","662","677","870","863","843","890",
"광주광역시","계","계","정원[명]","명","4199","4417","4797","5317","5737","6335","7694","8995","9653","10171",
"광주광역시","계","재가","기관수[개]","개","418","426","467","524","562","582","775","769","746","791",
"광주광역시","계","재가","정원[명]","명","804","988","1252","1830","2202","2876","4139","5326","5922","6405",
"광주광역시","계","방문요양","기관수[개]","개","348","350","387","427","454","468","641","642","627","666",
"광주광역시","계","방문목욕","기관수[개]","개","236","239","256","267","281","275","381","382","361","368",
"광주광역시","계","방문간호","기관수[개]","개","17","15","14","13","14","14","27","25","30","32",
"광주광역시","계","주야간보호","기관수[개]","개","56","64","73","87","90","107","134","150","154","163",
"광주광역시","계","주야간보호","정원[명]","명","804","988","1248","1830","2202","2876","4135","5322","5918","6401",
"광주광역시","계","단기보호","기관수[개]","개","0","0","1","0","0","-","1","1","1","1",
"광주광역시","계","단기보호","정원[명]","명","0","0","4","0","0","-","4","4","4","4",
"광주광역시","계","복지용구","기관수[개]","개","50","54","56","63","66","67","81","72","67","73",
"광주광역시","계","통합재가서비스","기관수[개]","개","","","","","","","","","0","1",
"광주광역시","계","시설","기관수[개]","개","100","105","107","102","100","95","95","94","97","99",
"광주광역시","계","시설","정원[명]","명","3395","3429","3545","3487","3535","3459","3555","3669","3731","3766",
"광주광역시","계","노인요양시설","기관수[개]","개","71","73","78","79","79","78","78","78","81","84",
"광주광역시","계","노인요양시설","정원[명]","명","3151","3158","3296","3290","3356","3316","3412","3534","3596","3640",
"광주광역시","계","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"광주광역시","계","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"광주광역시","계","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"광주광역시","계","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"광주광역시","계","노인요양공동생활가정","기관수[개]","개","29","32","29","23","21","17","17","16","16","15",
"광주광역시","계","노인요양공동생활가정","정원[명]","명","244","271","249","197","179","143","143","135","135","126",
"광주광역시","계","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"광주광역시","계","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"광주광역시","지방자치단체","계","기관수[개]","개","","","","","","2","1","1","1","0",
"광주광역시","지방자치단체","계","정원[명]","명","","","","","","34","17","17","17","0",
"광주광역시","지방자치단체","재가","기관수[개]","개","","","","","","2","1","1","1","0",
"광주광역시","지방자치단체","재가","정원[명]","명","","","","","","34","17","17","17","0",
"광주광역시","지방자치단체","방문요양","기관수[개]","개","","","","","","1","-","-","0","0",
"광주광역시","지방자치단체","방문목욕","기관수[개]","개","","","","","","-","-","-","0","0",
"광주광역시","지방자치단체","방문간호","기관수[개]","개","","","","","","-","-","-","0","0",
"광주광역시","지방자치단체","주야간보호","기관수[개]","개","","","","","","2","1","1","1","0",
"광주광역시","지방자치단체","주야간보호","정원[명]","명","","","","","","34","17","17","17","0",
"광주광역시","지방자치단체","단기보호","기관수[개]","개","","","","","","-","-","-","0","0",
"광주광역시","지방자치단체","단기보호","정원[명]","명","","","","","","-","-","-","0","0",
"광주광역시","지방자치단체","복지용구","기관수[개]","개","","","","","","-","-","-","0","0",
"광주광역시","지방자치단체","통합재가서비스","기관수[개]","개","","","","","","","","","0","0",
"광주광역시","지방자치단체","시설","기관수[개]","개","","","","","","-","-","-","0","0",
"광주광역시","지방자치단체","시설","정원[명]","명","","","","","","-","-","-","0","0",
"광주광역시","지방자치단체","노인요양시설","기관수[개]","개","","","","","","-","-","-","0","0",
"광주광역시","지방자치단체","노인요양시설","정원[명]","명","","","","","","-","-","-","0","0",
"광주광역시","지방자치단체","노인요양공동생활가정","기관수[개]","개","","","","","","-","-","-","0","0",
"광주광역시","지방자치단체","노인요양공동생활가정","정원[명]","명","","","","","","-","-","-","0","0",
"광주광역시","법인","계","기관수[개]","개","138","137","138","133","129","124","132","134","134","134",
"광주광역시","법인","계","정원[명]","명","2883","2915","2984","3033","3023","3088","3186","3382","3635","3586",
"광주광역시","법인","재가","기관수[개]","개","86","85","84","79","78","74","82","85","84","85",
"광주광역시","법인","재가","정원[명]","명","518","548","556","613","649","735","785","923","1199","1224",
"광주광역시","법인","방문요양","기관수[개]","개","69","66","61","54","55","52","62","68","66","67",
"광주광역시","법인","방문목욕","기관수[개]","개","33","33","30","26","24","23","29","31","32","32",
"광주광역시","법인","방문간호","기관수[개]","개","5","4","4","3","4","5","6","3","4","4",
"광주광역시","법인","주야간보호","기관수[개]","개","29","30","32","32","31","31","32","35","39","41",
"광주광역시","법인","주야간보호","정원[명]","명","518","548","556","613","649","735","785","923","1199","1224",
"광주광역시","법인","단기보호","기관수[개]","개","0","0","0","0","0","-","-","-","0","0",
"광주광역시","법인","단기보호","정원[명]","명","0","0","0","0","0","-","-","-","0","0",
"광주광역시","법인","복지용구","기관수[개]","개","7","9","10","10","9","8","11","10","10","10",
"광주광역시","법인","통합재가서비스","기관수[개]","개","","","","","","","","","0","0",
"광주광역시","법인","시설","기관수[개]","개","52","52","54","54","51","50","50","49","50","49",
"광주광역시","법인","시설","정원[명]","명","2365","2367","2428","2420","2374","2353","2401","2459","2436","2362",
"광주광역시","법인","노인요양시설","기관수[개]","개","49","49","51","51","48","47","48","47","48","47",
"광주광역시","법인","노인요양시설","정원[명]","명","2339","2341","2402","2394","2348","2326","2383","2441","2418","2344",
"광주광역시","법인","노인전문요양시설","기관수[개]","개","0","","","","","","","","","",
"광주광역시","법인","노인전문요양시설","정원[명]","명","0","","","","","","","","","",
"광주광역시","법인","노인요양시설(구법)","기관수[개]","개","0","","","","","","","","","",
"광주광역시","법인","노인요양시설(구법)","정원[명]","명","0","","","","","","","","","",
"광주광역시","법인","노인요양공동생활가정","기관수[개]","개","3","3","3","3","3","3","2","2","2","2",
"광주광역시","법인","노인요양공동생활가정","정원[명]","명","26","26","26","26","26","27","18","18","18","18",
"광주광역시","법인","노인요양시설(단기보호전환)","기관수[개]","개","0","","","","","","","","","",
"광주광역시","법인","노인요양시설(단기보호전환)","정원[명]","명","0","","","","","","","","","",
"광주광역시","개인","계","기관수[개]","개","380","393","433","489","530","548","731","722","704","752",
"광주광역시","개인","계","정원[명]","명","1316","1502","1813","2284","2714","3213","4459","5536","6001","6585",
"광주광역시","개인","재가","기관수[개]","개","332","340","380","441","481","503","686","677","657","702",
"광주광역시","개인","재가","정원[명]","명","286","440","696","1217","1553","2107","3305","4326","4706","5181",
"광주광역시","개인","방문요양","기관수[개]","개","279","283","323","370","397","413","575","570","558","596",
